0.6375,0.75,0
0.2375,0.4,1
0.15,0.3,2
0.1,0.35,3
0.1,0.35,4
0.1,0.35,5
0.0875,0.35,6
0.075,0.25,7
0.0625,0.25,8
0.05,0.25,9
0.0375,0.3,10
0.025,0.4,11
0.025,0.4,12
0.025,0.4,13
0.0125,0.4,14
0.0125,0.4,15
0.0,0.4,16
