training_error,validation_error,testing_error,nNodes
0.640625,0.875,0.6,0
0.296875,0.125,0.3,1
0.171875,0.0625,0.25,2
0.140625,0.125,0.2,3
0.125,0.375,0.35,4
0.125,0.375,0.35,5
0.109375,0.375,0.35,6
0.09375,0.375,0.35,7
0.09375,0.375,0.35,8
0.09375,0.25,0.2,9
0.09375,0.25,0.2,10
0.078125,0.25,0.2,11
0.0625,0.25,0.2,12
0.046875,0.25,0.2,13
0.046875,0.25,0.2,14
0.03125,0.3125,0.35,15
0.015625,0.3125,0.35,16
0.015625,0.3125,0.35,17
0.015625,0.3125,0.35,18
0.015625,0.3125,0.35,19
0.015625,0.3125,0.35,20
0.015625,0.3125,0.35,21
