training_error,validation_error,testing_error,nNodes
0.65625,0.5,0.8,0
0.265625,0.25,0.3,1
0.15625,0.125,0.25,2
0.140625,0.1875,0.25,3
0.125,0.1875,0.25,4
0.109375,0.3125,0.3,5
0.09375,0.3125,0.3,6
0.0625,0.1875,0.25,7
0.0625,0.1875,0.25,8
0.0625,0.1875,0.25,9
0.0625,0.1875,0.25,10
0.0625,0.1875,0.25,11
0.046875,0.1875,0.25,12
0.046875,0.1875,0.25,13
0.03125,0.1875,0.25,14
0.03125,0.1875,0.25,15
0.015625,0.1875,0.25,16
0.0,0.25,0.25,17
0.015625,0.125,0.2,16
