training_error,validation_error,testing_error,nNodes
0.59375,0.75,0.8,0
0.234375,0.375,0.3,1
0.171875,0.1875,0.2,2
0.125,0.125,0.3,3
0.109375,0.125,0.3,4
0.09375,0.25,0.35,5
0.09375,0.25,0.3,6
0.09375,0.25,0.3,7
0.09375,0.25,0.3,8
0.0625,0.25,0.3,9
0.046875,0.25,0.3,10
0.046875,0.25,0.3,11
0.03125,0.25,0.3,12
0.015625,0.25,0.3,13
0.015625,0.25,0.3,14
0.0,0.3125,0.3,15
0.015625,0.1875,0.25,14
